number,title,body
633,[WeeklyReport] Weekly report for open-digger 2021-7-26 to 2021-8-2,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
634,QR code of Wechat group always expires,QR code of Wechat group always expires
636,use react to refactor open-digger,project of summer2021
637,[discussion] The pull request needs to have an associated issue number attached. ,"Try not to let issue raisers close issues themselves.
This should be added to the check list of pull request."
638,[Feature] how to use the Issues and the Discussions,"I need to know what kind of issues should be discussed in issues and what kind of issues should be discussed in Discussions.
If you have any relevant suggestions or regulations, please give them in the README, top issues, and top discussions."
640,summer2021:opendigger website,
641,[WeeklyReport] Weekly report for open-digger 2021-8-2 to 2021-8-9,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
643,[WeeklyReport] Weekly report for open-digger 2021-8-9 to 2021-8-16,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
645,[WeeklyReport] Weekly report for open-digger 2021-8-16 to 2021-8-23,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
647,[WeeklyReport] Weekly report for open-digger 2021-8-23 to 2021-8-30,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
